sample,tag,group,category,EB,FB,PB
site_t1_1,F001,exp1,sample,E11210,F2,e1e2_P1
site_t1_2,F002,exp1,sample,E11210,F2,e1e2_P1
site_t1_3,F003,exp1,sample,E11210,F2,e1e2_P1
site_t1_4,F004,exp1,sample,E11210,F2,e1e2_P1
site_t1_5,F005,exp1,sample,E11210,F2,e1e2_P1
site_t1_6,F006,exp1,sample,E11210,F1,e1e2_P1
site_t1_7,F007,exp1,sample,E11210,F1,e1e2_P1
site_t1_8,F008,exp1,sample,E11210,F1,e1e2_P1
site_t1_1,F009,exp1,sample,E11210,F2,e1e2_P1
site_t1_2,F010,exp1,sample,E11210,F2,e1e2_P1
site_t1_3,F011,exp1,sample,E11210,F2,e1e2_P1
site_t1_4,F012,exp1,sample,E11210,F2,e1e2_P1
site_t1_5,F013,exp1,sample,E11210,F2,e1e2_P1
site_t1_6,F014,exp1,sample,E11210,F1,e1e2_P1
site_t1_7,F015,exp1,sample,E11210,F1,e1e2_P1
site_t1_8,F016,exp1,sample,E11210,F1,e1e2_P1
site_t1_1,F017,exp1,sample,E11210,F2,e1e2_P1
site_t1_2,F018,exp1,sample,E11210,F2,e1e2_P1
site_t1_3,F019,exp1,sample,E11210,F2,e1e2_P1
site_t1_4,F243,exp1,sample,E11210,F2,e1e2_R2
site_t1_5,F021,exp1,sample,E11210,F2,e1e2_P1
site_t1_6,F022,exp1,sample,E11210,F1,e1e2_P1
site_t1_7,F023,exp1,sample,E11210,F1,e1e2_P1
site_t1_8,F024,exp1,sample,E11210,F1,e1e2_P1
site_t1_9,F025,exp1,sample,E11210,F1,e1e2_P1
site_t1_10,F026,exp1,sample,E11210,F3,e1e2_P1
site_t1_11,F027,exp1,sample,E11210,F3,e1e2_P1
site_t1_12,F028,exp1,sample,E11210,F3,e1e2_P1
site_t1_13,F029,exp1,sample,E11210,F3,e1e2_P1
site_t1_14,F030,exp1,sample,E11210,F3,e1e2_P1
site_t1_15,F031,exp1,sample,E11210,F3,e1e2_P1
site_t1_16,F032,exp1,sample,E11210,F3,e1e2_P1
site_t1_9,F033,exp1,sample,E11210,F1,e1e2_P1
site_t1_10,F034,exp1,sample,E11210,F3,e1e2_P1
site_t1_11,F035,exp1,sample,E11210,F3,e1e2_P1
site_t1_12,F036,exp1,sample,E11210,F3,e1e2_P1
site_t1_13,F037,exp1,sample,E11210,F3,e1e2_P1
site_t1_14,F038,exp1,sample,E11210,F3,e1e2_P1
site_t1_15,F039,exp1,sample,E11210,F3,e1e2_P1
site_t1_16,F040,exp1,sample,E11210,F3,e1e2_P1
site_t1_9,F041,exp1,sample,E11210,F1,e1e2_P1
site_t1_10,F042,exp1,sample,E11210,F3,e1e2_P1
site_t1_11,F043,exp1,sample,E11210,F3,e1e2_P1
site_t1_12,F044,exp1,sample,E11210,F3,e1e2_P1
site_t1_13,F045,exp1,sample,E11210,F3,e1e2_P1
site_t1_14,F046,exp1,sample,E11210,F3,e1e2_P1
site_t1_15,F047,exp1,sample,E11210,F3,e1e2_P1
site_t1_16,F048,exp1,sample,E11210,F3,e1e2_P1
site_t2_1,F049,exp1,sample,E11211,F2,e1e2_P1
site_t2_2,F050,exp1,sample,E11211,F2,e1e2_P1
site_t2_3,F051,exp1,sample,E11211,F2,e1e2_P1
site_t2_4,F052,exp1,sample,E11211,F2,e1e2_P1
site_t2_5,F053,exp1,sample,E11211,F2,e1e2_P1
F1,F054,exp1,FB,E11211,NA,e1e2_P1
F2,F055,exp1,FB,E11211,NA,e1e2_P1
F3,F056,exp1,FB,E11211,NA,e1e2_P1
site_t2_1,F057,exp1,sample,E11211,F2,e1e2_P1
site_t2_2,F058,exp1,sample,E11211,F2,e1e2_P1
site_t2_3,F059,exp1,sample,E11211,F2,e1e2_P1
site_t2_4,F060,exp1,sample,E11211,F2,e1e2_P1
site_t2_5,F061,exp1,sample,E11211,F2,e1e2_P1
F1,F062,exp1,FB,E11211,NA,e1e2_R2
F2,F063,exp1,FB,E11211,NA,e1e2_P1
F3,F064,exp1,FB,E11211,NA,e1e2_P1
site_t2_1,F065,exp1,sample,E11211,F2,e1e2_P1
site_t2_2,F066,exp1,sample,E11211,F2,e1e2_P1
site_t2_3,F067,exp1,sample,E11211,F2,e1e2_P1
site_t2_4,F068,exp1,sample,E11211,F2,e1e2_P1
site_t2_5,F069,exp1,sample,E11211,F2,e1e2_P1
F1,F070,exp1,FB,E11211,NA,e1e2_R2
F2,F071,exp1,FB,E11211,NA,e1e2_P1
